8;2025-10-25;19;10;4
6;2025-10-25;19;2;4
2;2025-10-25;23;3;3
5;2025-10-25;22;2;2
2;2025-10-25;22;8;1
10;2025-10-25;20;2;1
3;2025-10-25;20;3;3
2;2025-10-25;20;4;3
10;2025-10-25;20;4;4
7;2025-10-25;23;2;3
5;2025-10-25;23;6;1
5;2025-10-25;19;3;2
8;2025-10-25;22;8;2
10;2025-10-25;24;5;4
2;2025-10-25;23;10;4
8;2025-10-25;24;6;1
5;2025-10-25;22;9;3
4;2025-10-25;21;4;2
1;2025-10-25;24;4;3
2;2025-10-25;23;1;2
7;2025-10-25;21;6;3
6;2025-10-25;22;10;4
1;2025-10-25;20;10;2
6;2025-10-25;22;7;3
9;2025-10-25;20;9;1
10;2025-10-25;22;4;1
3;2025-10-25;22;5;1
8;2025-10-25;21;6;1
2;2025-10-25;20;9;2
9;2025-10-25;19;2;3
7;2025-10-25;23;2;3
2;2025-10-25;24;9;3
8;2025-10-25;20;7;4
7;2025-10-25;21;6;3
10;2025-10-25;21;6;2
2;2025-10-25;20;10;3
6;2025-10-25;19;8;1
6;2025-10-25;19;2;1
5;2025-10-25;24;7;3
5;2025-10-25;22;5;3
9;2025-10-25;24;7;2
6;2025-10-25;23;2;4
8;2025-10-25;20;6;2
10;2025-10-25;24;8;3
2;2025-10-25;21;4;2
10;2025-10-25;21;4;2
9;2025-10-25;20;3;1
2;2025-10-25;23;1;1
1;2025-10-25;19;3;4
4;2025-10-25;23;2;4
8;2025-10-25;24;2;1
6;2025-10-25;20;1;4
6;2025-10-25;22;2;4
9;2025-10-25;21;2;4
4;2025-10-25;24;1;2
7;2025-10-25;22;7;1
7;2025-10-25;23;3;3
10;2025-10-25;19;9;1
1;2025-10-25;22;1;4
7;2025-10-25;21;8;2
5;2025-10-25;20;4;4
4;2025-10-25;22;8;2
6;2025-10-25;24;7;2
6;2025-10-25;22;10;1
3;2025-10-25;19;7;4
6;2025-10-25;19;6;1
8;2025-10-25;19;6;4
2;2025-10-25;21;2;2
10;2025-10-25;22;8;1
1;2025-10-25;24;1;3
7;2025-10-25;24;8;2
10;2025-10-25;20;2;4
9;2025-10-25;24;5;3
1;2025-10-25;21;1;1
7;2025-10-25;24;10;1
10;2025-10-25;19;5;2
7;2025-10-25;20;2;4
10;2025-10-25;22;6;1
4;2025-10-25;22;5;1
3;2025-10-25;19;5;2
